iter	RMSE
0	0.9710631926
1	0.8247710073
2	0.7022282601
3	0.6270477627
4	0.5346013406
5	0.444717163
6	0.3839413771
7	0.3332464887
8	0.2896858851
9	0.2546482153
10	0.2217991067
11	0.1892739767
12	0.1682408917
13	0.1400203532
14	0.1217420713
15	0.1038814836
16	0.08639816643
17	0.07526269779
18	0.06268846321
19	0.05362374493
20	0.04587823084
21	0.03940739145
22	0.03396654535
23	0.0283153494
24	0.02431601344
25	0.02028646573
26	0.01693585957
27	0.01414882591
28	0.01183896794
29	0.009906073428
30	0.008624575516
31	0.007223667424
32	0.00605654099
33	0.005085089643
34	0.004273904823
35	0.003596032008
36	0.003101566493
37	0.002677233959
38	0.002312693569
39	0.002014958717
40	0.001755565836
41	0.001529576385
42	0.001332687989
43	0.001161152485
44	0.001011704525
45	0.0008814993786
46	0.0007680587495
47	0.0006692235685
48	0.0005831128718
49	0.0005080879754
