iter	Passed	Remaining
0	0	550
1	0	391
2	1	350
3	1	331
4	1	311
5	1	291
6	1	281
7	2	269
8	2	276
9	2	269
10	2	263
11	3	262
12	5	409
13	5	396
14	5	384
15	6	373
16	6	364
17	6	365
18	6	356
19	7	351
20	7	347
21	7	340
22	7	334
23	8	327
24	8	323
25	8	317
26	8	313
27	8	309
28	9	305
29	9	300
30	9	297
31	9	292
32	9	289
33	10	285
34	10	282
35	10	280
36	10	277
37	10	274
38	11	277
39	11	274
40	11	273
41	11	271
42	12	268
43	12	265
44	12	263
45	12	261
46	12	259
47	13	257
48	13	256
49	13	255
50	13	253
51	13	252
52	14	250
53	14	248
54	14	247
55	14	246
56	14	245
57	14	243
58	15	242
59	15	241
60	15	240
61	15	239
62	16	238
63	16	237
64	16	237
65	16	235
66	16	234
67	16	232
68	17	231
69	17	230
70	19	248
71	19	248
72	19	247
73	19	247
74	20	247
75	20	246
76	20	245
77	20	244
78	20	243
79	21	245
80	21	244
81	21	243
82	21	242
83	22	241
84	22	240
85	22	239
86	22	238
87	22	237
88	23	236
89	23	235
90	23	236
91	23	235
92	24	234
93	24	233
94	24	232
95	24	231
96	24	230
97	24	229
98	25	228
99	25	227
100	25	226
101	25	225
102	25	225
103	26	224
104	26	223
105	26	222
106	26	221
107	26	221
108	27	220
109	27	220
110	27	219
111	27	219
112	27	219
113	28	218
114	28	217
115	28	217
116	28	216
117	28	215
118	29	215
119	29	214
120	29	213
121	29	213
122	29	212
123	30	212
124	33	235
125	33	235
126	34	234
127	34	233
128	34	233
129	34	233
130	35	232
131	35	231
132	35	231
133	35	230
134	35	230
135	36	229
136	36	229
137	36	230
138	47	295
139	48	295
140	48	294
141	48	292
142	48	292
143	49	291
144	49	290
145	49	288
146	49	288
147	49	287
148	50	286
149	50	285
150	50	284
151	50	283
152	51	283
153	51	282
154	51	281
155	51	280
156	52	279
157	52	278
158	52	277
159	52	276
160	52	275
161	53	274
162	53	274
163	53	273
164	53	271
165	53	271
166	54	270
167	54	269
168	55	273
169	55	272
170	56	272
171	56	272
172	56	271
173	57	270
174	57	270
175	57	269
176	57	269
177	58	268
178	58	267
179	58	266
180	58	266
181	59	265
182	60	269
183	60	268
184	60	267
185	61	268
186	61	268
187	62	268
188	62	268
189	67	288
190	68	288
191	68	287
192	68	287
193	68	286
194	69	286
195	69	285
196	69	284
197	70	283
198	70	283
199	70	282
200	70	281
201	71	280
202	71	280
203	78	304
204	78	305
205	79	304
206	79	304
207	79	304
208	80	304
209	80	303
210	81	303
211	81	303
212	82	303
213	82	303
214	83	303
215	83	303
216	84	303
217	84	303
218	85	303
219	96	343
220	109	385
221	109	384
222	109	382
223	110	381
224	110	380
225	110	379
226	112	382
227	115	391
228	117	395
229	118	396
230	119	399
231	120	398
232	120	397
233	121	397
234	121	396
235	122	395
236	122	395
237	123	395
238	123	394
239	125	397
240	125	396
241	126	395
242	126	395
243	129	401
244	130	402
245	130	401
246	131	400
247	131	399
248	132	398
249	132	398
250	133	397
251	134	397
252	134	397
253	136	400
254	136	399
255	137	398
256	138	399
257	138	398
258	140	401
259	141	402
260	142	402
261	142	402
262	143	402
263	144	404
264	145	403
265	146	403
266	147	404
267	148	404
268	150	408
269	152	413
270	153	413
271	154	412
272	154	411
273	155	411
274	155	410
275	156	410
276	157	410
277	157	410
278	158	409
279	161	415
280	161	414
281	162	413
282	163	413
283	163	412
284	164	411
285	164	410
286	164	409
287	165	408
288	166	409
289	166	408
290	167	407
291	169	411
292	170	412
293	171	412
294	172	412
295	173	412
296	173	411
297	174	411
298	176	413
299	176	412
300	177	411
301	177	411
302	178	410
303	179	410
304	179	409
305	180	408
306	180	407
307	181	407
308	182	407
309	182	406
310	183	406
311	183	405
312	184	405
313	185	405
314	186	404
315	186	404
316	188	405
317	188	405
318	189	404
319	190	405
320	191	404
321	193	406
322	194	407
323	195	407
324	196	408
325	197	408
326	198	408
327	198	407
328	199	406
329	199	406
330	200	405
331	201	404
332	201	403
333	202	403
334	202	402
335	203	402
336	203	401
337	204	400
338	205	399
339	205	398
340	206	398
341	206	397
342	207	397
343	208	397
344	209	397
345	209	396
346	210	396
347	211	395
348	211	394
349	212	394
350	212	393
351	214	395
352	216	396
353	216	395
354	217	395
355	218	394
356	218	393
357	219	393
358	220	394
359	221	394
360	222	393
361	222	392
362	223	392
363	224	391
364	224	391
365	225	390
366	226	390
367	226	389
368	228	390
369	230	392
370	231	391
371	235	396
372	235	396
373	236	395
374	237	395
375	237	394
376	238	394
377	239	393
378	239	392
379	240	391
380	241	392
381	242	391
382	243	391
383	243	390
384	244	389
385	244	389
386	245	389
387	246	388
388	247	388
389	247	387
390	248	386
391	248	385
392	249	384
393	249	384
394	250	383
395	250	382
396	251	381
397	251	380
398	252	380
399	252	379
400	253	378
401	253	377
402	254	376
403	255	376
404	256	376
405	258	377
406	259	377
407	260	378
408	261	378
409	262	377
410	263	377
411	264	377
412	265	377
413	266	376
414	267	377
415	268	376
416	268	375
417	269	375
418	273	378
419	274	379
420	276	379
421	277	379
422	277	378
423	278	378
424	278	377
425	279	376
426	280	376
427	281	375
428	281	374
429	282	374
430	282	373
431	283	372
432	283	371
433	284	371
434	285	370
435	286	370
436	286	369
437	287	368
438	287	367
439	288	366
440	289	366
441	289	366
442	290	365
443	290	364
444	291	363
445	292	362
446	292	361
447	293	361
448	293	360
449	294	359
450	294	358
451	295	358
452	296	357
453	296	356
454	297	355
455	297	354
456	298	354
457	299	353
458	300	353
459	300	352
460	301	352
461	301	351
462	302	350
463	302	349
464	304	349
465	304	349
466	309	353
467	310	352
468	311	352
469	312	351
470	312	351
471	313	350
472	315	351
473	315	350
474	316	349
475	316	348
476	317	347
477	317	346
478	317	345
479	318	344
480	318	343
481	319	342
482	319	341
483	319	340
484	320	339
485	320	339
486	320	338
487	321	337
488	321	336
489	321	335
490	322	334
491	322	333
492	323	332
493	323	331
494	323	330
495	324	329
496	324	328
497	325	327
498	325	326
499	325	325
500	326	324
501	326	323
502	326	323
503	327	322
504	327	321
505	328	320
506	328	319
507	329	318
508	329	317
509	329	316
510	330	316
511	330	315
512	331	314
513	331	313
514	332	312
515	332	312
516	333	311
517	333	310
518	333	309
519	334	308
520	334	307
521	337	309
522	338	308
523	339	308
524	339	307
525	340	306
526	341	306
527	342	305
528	342	305
529	343	304
530	346	305
531	346	304
532	347	304
533	347	303
534	348	302
535	348	301
536	349	301
537	349	300
538	350	299
539	350	298
540	350	297
541	351	296
542	351	296
543	352	295
544	352	294
545	352	293
546	353	292
547	353	291
548	354	290
549	354	289
550	354	289
551	355	288
552	355	287
553	355	286
554	356	285
555	357	285
556	357	284
557	357	283
558	358	282
559	358	281
560	358	280
561	359	279
562	359	279
563	359	278
564	360	277
565	360	276
566	360	275
567	361	274
568	361	273
569	362	273
570	362	272
571	362	271
572	362	270
573	363	269
574	363	268
575	363	267
576	364	267
577	364	266
578	365	265
579	366	265
580	366	264
581	366	263
582	367	262
583	367	262
584	368	261
585	368	260
586	369	259
587	369	258
588	369	258
589	370	257
590	370	256
591	370	255
592	371	254
593	371	253
594	371	253
595	372	252
596	372	251
597	373	250
598	373	250
599	374	249
600	374	248
601	374	247
602	375	247
603	375	246
604	376	245
605	376	244
606	376	243
607	377	243
608	378	242
609	378	242
610	379	241
611	380	240
612	380	240
613	381	239
614	382	239
615	383	239
616	385	239
617	385	238
618	386	237
619	387	237
620	387	236
621	388	235
622	389	235
623	389	234
624	390	234
625	390	233
626	391	232
627	392	232
628	393	231
629	393	231
630	394	230
631	395	230
632	395	229
633	396	229
634	397	228
635	398	227
636	398	227
637	399	226
638	399	225
639	400	225
640	401	224
641	401	224
642	402	223
643	403	222
644	403	222
645	404	221
646	405	221
647	406	220
648	407	220
649	407	219
650	408	218
651	409	218
652	411	218
653	411	217
654	412	217
655	413	216
656	415	216
657	416	216
658	419	216
659	419	216
660	420	215
661	420	214
662	421	214
663	421	213
664	422	212
665	422	212
666	423	211
667	424	210
668	424	210
669	425	209
670	425	208
671	426	208
672	426	207
673	427	206
674	427	206
675	428	205
676	428	204
677	429	203
678	430	203
679	430	202
680	431	201
681	431	201
682	432	200
683	432	199
684	433	199
685	433	198
686	434	197
687	434	197
688	435	196
689	435	195
690	436	195
691	437	194
692	437	193
693	438	193
694	439	192
695	439	192
696	440	191
697	440	190
698	441	190
699	443	190
700	444	189
701	445	189
702	446	188
703	447	188
704	448	187
705	448	186
706	449	186
707	449	185
708	450	184
709	450	184
710	450	183
711	451	182
712	451	181
713	452	181
714	452	180
715	452	179
716	453	178
717	453	178
718	453	177
719	454	176
720	454	175
721	454	175
722	455	174
723	455	173
724	456	173
725	457	172
726	457	171
727	458	171
728	458	170
729	458	169
730	459	169
731	460	168
732	460	167
733	461	167
734	461	166
735	461	165
736	462	164
737	462	164
738	462	163
739	463	162
740	463	162
741	463	161
742	464	160
743	465	160
744	465	159
745	465	158
746	466	157
747	466	157
748	467	156
749	467	155
750	467	155
751	468	154
752	468	153
753	468	152
754	469	152
755	469	151
756	469	150
757	470	150
758	470	149
759	471	148
760	471	148
761	473	148
762	475	147
763	475	146
764	475	146
765	476	145
766	476	144
767	476	144
768	480	144
769	480	143
770	481	142
771	481	142
772	482	141
773	482	140
774	483	140
775	483	139
776	484	139
777	484	138
778	485	137
779	486	137
780	486	136
781	487	135
782	488	135
783	488	134
784	491	134
785	492	134
786	493	133
787	493	132
788	494	132
789	494	131
790	496	131
791	497	130
792	497	129
793	498	129
794	498	128
795	499	127
796	499	127
797	500	126
798	501	126
799	501	125
800	502	124
801	503	124
802	504	123
803	505	123
804	506	122
805	508	122
806	509	121
807	510	121
808	511	120
809	511	120
810	513	119
811	514	119
812	515	118
813	516	117
814	517	117
815	518	116
816	519	116
817	519	115
818	520	115
819	521	114
820	521	113
821	522	113
822	523	112
823	523	111
824	524	111
825	524	110
826	525	109
827	526	109
828	527	108
829	528	108
830	528	107
831	529	106
832	530	106
833	530	105
834	531	104
835	531	104
836	532	103
837	532	103
838	533	102
839	533	101
840	534	101
841	535	100
842	535	99
843	536	99
844	536	98
845	537	97
846	538	97
847	538	96
848	538	95
849	539	95
850	540	94
851	540	93
852	541	93
853	541	92
854	542	91
855	545	91
